你,ni3, you  
好,hao3, good
您,nin2, you (formal)
贵姓,gui4xing4, surname (question)
我,wo3,I
姓,xing4,surname
叫,jiao4, to be called
零,ling2,zero
一,yi1,one
二,er4,two
三,san1,three
四,si4,four
五,wu3,five
六,liu4,six
七,qi1,seven
八,ba1,eight
九,jiu3,nine
是,shi4,to be
也,ye3,also
呢,ne5,an interrogative
很,hen3,very
吗,ma5,a question particle 
英国,ying1guo2,Britain
不,bu4,not
哪,na3,which
国,guo2,country
美国,mei3guo2,America
中国,zhong1guo2,China
德国,de2guo2,Germany
日本,ri4ben3,Japan
法国,fa3guo2,France
西班牙,xi1ban1ya2,Spain
谢谢,xie4xie5,Thanks
再见,zai4jian4,Bye
不客气,bu2 ke4qi5,You’re welcome
对不起,dui4bu5qi3,That’s all right
没关系,mei2 guan1xi5,I’m sorry
他,ta1,he
小姐,xiao3jie3,Miss
先生,xian1sheng5,Mr
现在,xian4zai4,now
几,ji3,how many
点,dian3,o’clock
分,fen1,minute
半,ban4,half
回,hui2,to return
家,jia1,home
今天,jin1tian1,today
号,hao4,date
月,yue4,month
去,qu4,to go to
星期,xing1qi1,week
前天,qian2tian1,the day before yesterday
昨天,zuo2tian1,yesterday
明天,ming2tian1,tomorrow
后天,hou4tian1,the day after tomorrow
办公时间,ban4gong1shi2jian1,office times
营业时间,ying2ye4shi2jian1,business hours
上班,shang4ban1,to go to work
下班,xia4ban1,to go home from work
吃,chi1, to eat
晚饭,wan3fan4,dinner
睡觉,shui4jiao4,to go to bed
刻,ke4,quarter of an hour
差,cha4,to lack
